tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,match_title,join_key,averageRating,numVotes
tt0113957,movie,The Net,The Net,0,1995,114,"Action,Crime,Drama",The Net,thenet|1995,6.0,80037.0
tt0114011,movie,Now and Then,Now and Then,0,1995,102,"Comedy,Drama,Romance",Now and Then,nowandthen|1995,6.8,34936.0
tt0114031,movie,Oh Darling Yeh Hai India,Oh Darling Yeh Hai India,0,1995,160,Comedy,Oh Darling Yeh Hai India,ohdarlingyehhaiindia|1995,4.0,2148.0
tt0114231,movie,Ram Jaane,Ram Jaane,0,1995,122,"Action,Crime,Drama",Ram Jaane,ramjaane|1995,5.4,4788.0
tt0114682,movie,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo Thanks for Everything, Julie Newmar",0,1995,109,"Comedy,Drama","To Wong Foo, Thanks for Everything! Julie Newmar",towongfoothanksforeverythingjulienewmar|1995,6.8,41624.0
tt0114726,movie,Trimurti,Trimurti,0,1995,187,"Action,Drama",Trimurti,trimurti|1995,4.9,3276.0
tt0114991,movie,Loving You,Mou mei san taam,0,1995,84,"Action,Crime,Drama",Loving You,lovingyou|1995,6.3,523.0
tt0115103,tvSeries,Bad Boys,Bad Boys,0,1995,30,Comedy,Bad Boys,badboys|1995,7.0,36.0
tt0115319,tvSeries,Power Rangers Zeo,Power Rangers Zeo,0,1996,21,"Action,Adventure,Family",Power Rangers Zeo,powerrangerszeo|1996,6.5,3477.0
tt0115641,movie,Beavis and Butt-Head Do America,Beavis and Butt-Head Do America,0,1996,81,"Adventure,Animation,Comedy",Beavis and Butt-Head Do America,beavisandbuttheaddoamerica|1996,6.8,63001.0
tt0115963,movie,The Craft,The Craft,0,1996,101,"Drama,Fantasy,Horror",The Craft,thecraft|1996,6.5,119427.0
tt0116136,movie,DragonHeart,Dragonheart,0,1996,103,"Action,Adventure,Fantasy",DragonHeart,dragonheart|1996,6.4,104815.0
tt0116253,movie,Executive Decision,Executive Decision,0,1996,133,"Action,Adventure,Thriller",Executive Decision,executivedecision|1996,6.5,65514.0
